,0 -- 1.93483998,3.22714918,4.33691651,6.96985935,70,GENERAL
NR1H2::RXRA,0.0014992503748125937,0.0005,0.0,0.0010005002501250625,0.0,0.0006000600060006001
BCL6B,0.0009995002498750624,0.0005,0.0,0.0010005002501250625,0.0010005002501250625,0.0007000700070007
ZSCAN16,0.0029985007496251873,0.004,0.0025,0.0025012506253126563,0.0015007503751875938,0.0027002700270027003
GLIS1,0.008995502248875561,0.0035,0.004,0.006003001500750375,0.006003001500750375,0.005700570057005701
IRF2,0.017491254372813594,0.014,0.015,0.017008504252126064,0.015507753876938469,0.0158015801580158
RXRA::VDR,0.02348825587206397,0.0215,0.0205,0.02451225612806403,0.02451225612806403,0.022902290229022904
E2F7,0.026986506746626688,0.0355,0.0275,0.0335167583791896,0.03551775887943972,0.0318031803180318
Znf423,0.0544727636181909,0.045,0.03,0.04302151075537769,0.03651825912956478,0.041804180418041806
NFIC::TLX1,0.05147426286856572,0.0435,0.0575,0.04302151075537769,0.04202101050525263,0.04750475047504751
PAX9,0.054972513743128434,0.071,0.063,0.06353176588294147,0.06653326663331666,0.0638063806380638
ZNF410,0.04897551224387806,0.0645,0.0565,0.07903951975987994,0.080040020010005,0.0658065806580658
IRF8,0.07746126936531735,0.0755,0.0825,0.09904952476238119,0.1055527763881941,0.08800880088008801
E2F3,0.09495252373813093,0.097,0.0925,0.128064032016008,0.16108054027013508,0.1147114711471147
ZBED1,0.09795102448775612,0.118,0.1045,0.1295647823911956,0.1340670335167584,0.11681168116811681
ZSCAN31,0.11444277861069466,0.117,0.125,0.1135567783891946,0.11705852926463231,0.11741174117411741
RFX1,0.09795102448775612,0.133,0.125,0.12406203101550775,0.11455727863931967,0.1189118911891189
Nr2F6,0.09345327336331834,0.1325,0.1335,0.14207103551775888,0.12706353176588295,0.1257125712571257
IRF9,0.12443778110944528,0.1235,0.14,0.16108054027013508,0.1630815407703852,0.1424142414241424
EWSR1-FLI1,0.1424287856071964,0.1225,0.164,0.135567783891946,0.15957978989494748,0.14481448144814482
ESR1,0.14792603698150925,0.168,0.1325,0.14457228614307155,0.15407703851925963,0.1494149414941494
IRF4,0.14392803598200898,0.153,0.1605,0.17008504252126064,0.18209104552276137,0.1619161916191619
RFX3,0.1359320339830085,0.176,0.173,0.18209104552276137,0.16558279139569784,0.16651665166516652
HES7,0.16941529235382308,0.2015,0.2,0.1935967983991996,0.18259129564782392,0.18941894189418942
TP63,0.051974012993503245,0.1435,0.1855,0.24712356178089045,0.34817408704352176,0.19521952195219522
OVOL1,0.15692153923038482,0.1845,0.1915,0.21510755377688845,0.23611805902951477,0.19681968196819682
ATF6,0.1634182908545727,0.213,0.2185,0.21060530265132565,0.21560780390195097,0.20422042204220422
Rarb,0.1984007996001999,0.21,0.2125,0.23561780890445222,0.2891445722861431,0.22912291229122914
TGIF1,0.22438780609695153,0.21,0.224,0.24562281140570286,0.2676338169084542,0.23432343234323433
SOX21,0.2013993003498251,0.2435,0.252,0.2751375687843922,0.29164582291145574,0.25272527252725274
Sox1,0.21039480259870064,0.256,0.2585,0.2926463231615808,0.27313656828414207,0.2581258125812581
ZNF143,0.26936531734132935,0.301,0.2785,0.2866433216608304,0.2546273136568284,0.27802780278027805
ATF3,0.24037981009495252,0.2825,0.301,0.32266133066533265,0.3016508254127064,0.28962896289628964
Rarg,0.25287356321839083,0.2855,0.3185,0.3181590795397699,0.3356678339169585,0.3021302130213021
PAX1,0.3118440779610195,0.364,0.3145,0.31915957978989495,0.2986493246623312,0.32163216321632165
PLAG1,0.408295852073963,0.3595,0.3165,0.32516258129064535,0.3426713356678339,0.35043504350435045
GLIS3,0.463768115942029,0.4035,0.366,0.38819409704852426,0.3536768384192096,0.39503950395039505
NFKB1,0.375312343828086,0.3275,0.322,0.432216108054027,0.5192596298149075,0.39523952395239526
GLI3,0.33233383308345826,0.472,0.3695,0.4627313656828414,0.38019009504752377,0.40334033403340336
HOXD12::ELK1,0.3548225887056472,0.3945,0.4225,0.41870935467733866,0.45972986493246626,0.41004100410041006
SRF,0.38580709645177413,0.4045,0.421,0.45822911455727866,0.5092546273136568,0.43574357435743577
MTF1,0.4757621189405297,0.497,0.5255,0.49974987493746875,0.4462231115557779,0.4888488848884888
RREB1,0.45327336331834084,0.508,0.532,0.5147573786893447,0.4467233616808404,0.49094909490949096
KLF13,0.49025487256371814,0.514,0.4925,0.51975987993997,0.46923461730865434,0.4971497149714971
Mlxip,0.41879060469765117,0.527,0.529,0.5352676338169085,0.5732866433216608,0.5166516651665166
NR3C2,0.4427786106946527,0.5675,0.5395,0.5597798899449725,0.5232616308154077,0.5265526552655265
TFAP4::FLI1,0.5237381309345327,0.5575,0.5265,0.5497748874437218,0.607303651825913,0.5529552955295529
PKNOX2,0.5107446276861569,0.554,0.561,0.591295647823912,0.5842921460730365,0.5602560256025603
CEBPB,0.48825587206396803,0.6105,0.577,0.5757878939469735,0.5717858929464732,0.5646564656465647
RFX4,0.5762118940529735,0.5515,0.5865,0.5817908954477239,0.5312656328164082,0.5654565456545655
RARA,0.5562218890554723,0.5425,0.5465,0.5682841420710355,0.6408204102051025,0.5708570857085709
NR3C1,0.47626186906546725,0.6215,0.591,0.6038019009504753,0.5682841420710355,0.5721572157215722
Rxra,0.5222388805597201,0.5615,0.5925,0.5852926463231616,0.6078039019509754,0.5738573857385738
ATF7,0.5527236381809095,0.633,0.5975,0.6763381690845423,0.6368184092046023,0.6192619261926192
ZNF382,0.5187406296851574,0.619,0.617,0.6903451725862931,0.776888444222111,0.6443644364436444
ERF::SREBF2,0.5642178910544727,0.6705,0.6765,0.6853426713356678,0.7268634317158579,0.6646664666466646
NR1D2,0.6226886556721639,0.6195,0.6695,0.695847923961981,0.7393696848424212,0.6693669366936693
ZNF8,0.5417291354322838,0.6265,0.64,0.7288644322161081,0.8654327163581791,0.6804680468046804
ZNF558,0.5592203898050975,0.6485,0.6505,0.7648824412206103,0.8439219609804902,0.6933693369336934
Mecom,0.6056971514242878,0.6485,0.7185,0.7208604302151076,0.8054027013506754,0.6997699769976997
NR2F6,0.6966516741629185,0.7145,0.7435,0.7618809404702351,0.8759379689844923,0.7584758475847585
ZNF157,0.6946526736631684,0.8025,0.782,0.8809404702351176,0.8839419709854928,0.8087808780878087
Creb5,0.7051474262868566,0.7865,0.8355,0.8934467233616809,0.9169584792396198,0.8274827482748275
ZIC5,1.0504747626186905,0.9165,0.775,0.7783891945972986,0.695847923961981,0.8432843284328433
BHLHE41,0.6756621689155422,0.903,0.9465,0.9334667333666833,0.8649324662331166,0.8646864686468647
OVOL2,0.767616191904048,0.985,0.8835,0.9604802401200601,0.7963981990995498,0.8785878587858786
HOXC9,0.7496251874062968,0.817,0.899,0.9429714857428715,1.0645322661330665,0.8945894589458946
NR1D1,0.8700649675162418,0.894,0.893,0.9109554777388694,0.9219609804902451,0.897989798979898
NFE2,0.7666166916541729,0.9085,0.8855,0.9724862431215607,1.0,0.9065906590659066
Ar,0.8225887056471765,0.9885,0.94,0.9339669834917459,0.919959979989995,0.920992099209921
ZNF282,0.9100449775112444,0.9545,0.9055,0.9134567283641821,0.9239619809904952,0.9214921492149215
ZNF16,0.9370314842578711,1.002,0.955,0.9574787393696849,1.017008504252126,0.9736973697369737
RFX2,0.7876061969015492,0.978,1.005,1.103551775887944,1.0045022511255628,0.9756975697569757
RELA,0.904047976011994,0.918,0.935,1.007503751875938,1.1230615307653826,0.9774977497749775
USF2,0.7451274362818591,1.041,1.045,1.0690345172586293,0.9874937468734367,0.9774977497749775
NFIA,0.9075462268865567,0.9845,1.0125,1.0790395197598799,1.1110555277638818,1.018901890189019
ZNF140,0.9550224887556222,1.0285,1.0405,1.0565282641320661,1.0930465232616309,1.0347034703470348
Arnt,0.9720139930034982,1.148,1.1475,1.1235617808904452,1.1885942971485743,1.115911591159116
Tcf21,1.0184907546226887,1.231,1.182,1.2416208104052027,1.0595297648824413,1.1465146514651465
ZIC1,1.3788105947026488,1.2415,1.0715,1.0910455227613807,1.0140070035017508,1.1594159415941594
MEF2B,0.8835582208895553,1.05,1.09,1.2406203101550775,1.6443221610805403,1.1816181618161816
CEBPE,1.00199900049975,1.237,1.1955,1.2481240620310154,1.2516258129064533,1.1868186818681867
E2F4,1.1874062968515742,1.323,1.164,1.1625812906453226,1.1545772886443222,1.1983198319831982
MEF2D,0.9130434782608695,1.0865,1.1285,1.2691345672836418,1.629814907453727,1.2053205320532052
BACH2,1.064967516241879,1.198,1.179,1.2901450725362682,1.3781890945472737,1.222022202220222
ELK1::HOXB13,1.2133933033483257,1.2775,1.237,1.217608804402201,1.2311155577788895,1.2353235323532352
FOXF2,1.0834582708645677,1.2065,1.2445,1.3026513256628314,1.4372186093046524,1.2548254825482548
HSF1,1.0514742628685658,1.1845,1.281,1.3646823411705853,1.423711855927964,1.261026102610261
REST,1.221889055472264,1.311,1.2765,1.2701350675337668,1.3556778389194597,1.287028702870287
HOXC11,1.0144927536231885,1.1505,1.2895,1.385192596298149,1.5982991495747874,1.2875287528752875
CREB3,1.1264367816091954,1.3115,1.3445,1.3836918459229615,1.3846923461730865,1.3101310131013102
IRF3,1.1664167916041979,1.247,1.364,1.431215607803902,1.3566783391695847,1.3130313031303131
PAX2,1.2598700649675163,1.3955,1.309,1.3146573286643322,1.3006503251625814,1.3159315931593158
ZNF343,1.2533733133433282,1.4765,1.333,1.3846923461730865,1.1620810405202602,1.321932193219322
PPARG,1.0974512743628186,1.208,1.2345,1.3986993496748374,1.6778389194597298,1.3232323232323233
INSM1,1.3388305847076463,1.347,1.2445,1.3596798399199599,1.4267133566783392,1.3433343334333434
MLX,1.0764617691154423,1.368,1.431,1.4317158579289644,1.4872436218109055,1.358835883588359
RFX5,1.133433283358321,1.4,1.395,1.5157578789394697,1.4187093546773386,1.3725372537253726
CREB3L1,1.1274362818590704,1.4275,1.3565,1.5227613806903453,1.4517258629314658,1.3771377137713772
PAX8,1.2358820589705148,1.448,1.398,1.4682341170585294,1.4432216108054028,1.3986398639863986
LMX1B,1.2328835582208895,1.3895,1.3865,1.4417208604302152,1.6903451725862932,1.428142814281428
ERF::FIGLA,1.3758120939530234,1.552,1.4665,1.4887443721860931,1.4892446223111555,1.4744474447444744
XBP1,1.3253373313343328,1.4985,1.535,1.5562781390695348,1.4757378689344671,1.4781478147814782
PPARD,1.302848575712144,1.5045,1.5085,1.5817908954477238,1.5992996498249124,1.4993499349934993
Bach1::Mafk,1.311344327836082,1.5905,1.532,1.6163081540770385,1.4777388694347173,1.5055505550555055
MYBL2,1.3373313343328337,1.541,1.548,1.5647823911955978,1.7063531765882942,1.5394539453945395
TBXT,1.311344327836082,1.6085,1.6175,1.6758379189594796,1.7238619309654828,1.5873587358735874
TP53,1.105447276361819,1.4065,1.6635,1.8044022011005503,2.025512756378189,1.6009600960096009
KLF15,1.7556221889055472,2.188,1.5095,1.5647823911955978,1.0775387693846923,1.619161916191619
EGR3,1.7896051974012994,1.813,1.488,1.5642821410705352,1.4502251125562782,1.621062106210621
ERF::NHLH1,1.4947526236881559,1.7335,1.6355,1.7988994497248625,1.583791895947974,1.6492649264926493
POU1F1,1.3898050974512743,1.572,1.5825,1.783391695847924,2.1135567783891944,1.6881688168816882
ZNF528,1.6286856571714143,1.702,1.723,1.7178589294647324,1.680840420210105,1.6904690469046906
PROX1,1.5172413793103448,1.807,1.72,1.7498749374687343,1.6848424212106052,1.6957695769576957
JUN,1.5167416291854072,1.7305,1.737,1.7988994497248625,1.8514257128564282,1.7268726872687268
MYBL1,1.4267866066966517,1.709,1.669,1.8224112056028015,2.0205102551275638,1.7294729472947294
POU2F2,1.472263868065967,1.659,1.6115,1.8309154577288644,2.1985992996498247,1.7543754375437544
Smad4,1.6096951524237881,1.8075,1.732,1.8299149574787394,1.9349674837418709,1.7827782778277828
ZNF582,1.64167916041979,1.7335,1.749,1.871935967983992,1.9864932466233116,1.7964796479647964
ELK1::SREBF2,1.6371814092953523,1.9605,1.7975,1.9054527263631815,1.7348674337168584,1.8070807080708071
CDX4,1.4507746126936532,1.6445,1.845,1.930465232616308,2.1985992996498247,1.8137813781378138
TFEC,1.434782608695652,1.8175,1.9035,1.977488744372186,2.145072536268134,1.8555855585558556
RORA,1.6851574212893554,1.889,1.838,1.894447223611806,2.0225112556278138,1.8657865786578658
ELK1::HOXA1,1.7991004497751124,2.0615,1.8495,1.9319659829914957,1.7498749374687343,1.8783878387838784
FERD3L,1.576711644177911,2.0455,1.8725,2.1565782891445724,1.833416708354177,1.8968896889688969
TFAP2E,2.033983008495752,2.247,1.843,1.7608804402201101,1.613806903451726,1.8997899789978998
NFKB2,1.943528235882059,1.859,1.7535,1.925462731365683,2.0730365182591295,1.9108910891089108
RXRG,1.7541229385307346,2.0365,2.0225,2.00200100050025,2.085542771385693,1.9800980098009802
DUX4,1.6116941529235382,1.882,1.9475,2.159079539769885,2.3811905952976486,1.9961996199619962
POU4F2,1.7426286856571713,1.8695,1.9455,2.055527763881941,2.420710355177589,2.0067006700670067
ZBTB33,2.023488255872064,2.463,2.0935,1.9964982491245622,1.8699349674837418,2.0893089308930892
ZSCAN4,2.15592203898051,2.143,1.8775,2.0655327663831917,2.2961480740370184,2.1076107610761077
HOXB9,1.7406296851574212,1.996,2.1415,2.2576288144072034,2.4347173586793396,2.114011401140114
ELK3,2.0659670164917543,2.5795,2.1275,2.132566283141571,1.7038519259629814,2.121912191219122
Nr2e3,1.952023988005997,2.1135,2.1815,2.308154077038519,2.3771885942971487,2.1864186418641864
ONECUT2,1.8205897051474262,2.041,2.066,2.3546773386693345,2.6528264132066033,2.1869186918691867
Lhx3,1.7806096951524237,2.015,2.066,2.331665832916458,2.761880940470235,2.190919091909191
ZBTB32,1.854072963518241,2.138,2.216,2.291645822911456,2.48024012006003,2.195919591959196
ZSCAN29,1.9705147426286858,2.3295,2.2635,2.36368184092046,2.1700850425212606,2.2194219421942196
TFE3,1.6836581709145426,2.1855,2.28,2.433216608304152,2.539769884942471,2.2243224322432242
ZNF76,2.2448775612193903,2.385,2.1955,2.2771385692846424,2.1500750375187594,2.2505250525052505
HOXD10,1.8370814592703648,2.0965,2.317,2.408704352176088,2.629814907453727,2.257725772577258
E2F1,2.1229385307346327,2.614,2.221,2.348174087043522,2.0530265132566283,2.2718271827182717
GFI1,1.879560219890055,2.198,2.293,2.48424212106053,2.589794897448724,2.288828882888289
BHLHE23,1.9290354822588707,2.244,2.359,2.441720860430215,2.586293146573287,2.311931193119312
E2F2,2.24287856071964,2.592,2.259,2.3546773386693345,2.15407703851926,2.3205320532053206
ZNF274,2.101949025487256,2.3595,2.3255,2.4167083541770884,2.418709354677339,2.3244324432443246
ETV2::HOXB13,2.0839580209895052,2.379,2.297,2.450225112556278,2.509254627313657,2.343834383438344
FOXO1::FLI1,1.879560219890055,2.4265,2.4175,2.634817408704352,2.5317658829414706,2.377937793779378
NHLH2,2.3258370814592704,2.364,2.57,2.492246123061531,2.529264632316158,2.4562456245624564
GLIS2,2.7501249375312344,2.6705,2.3125,2.3761880940470235,2.1905952976488243,2.46004600460046
TP73,1.9310344827586208,2.323,2.535,2.6898449224612304,2.8634317158579288,2.4683468346834685
ETV5,2.4782608695652173,2.828,2.465,2.492746373186593,2.1870935467733865,2.4902490249024902
FOXH1,2.1194402798600698,2.5575,2.513,2.7613806903451725,3.040520260130065,2.5982598259825984
ESRRB,2.179910044977511,2.515,2.646,2.7663831915957977,3.085542771385693,2.6384638463846386
ZNF684,2.7011494252873565,2.7905,2.581,2.663831915957979,2.5297648824412207,2.653265326532653
ELF4,2.531234382808596,2.748,2.537,2.7263631815907954,2.7778889444722363,2.664066406640664
SREBF2,2.187906046976512,2.6685,2.7955,2.874437218609305,2.8179089544772387,2.668766876687669
DUXA,2.158920539730135,2.634,2.7365,2.8779389694847426,2.9804902451225614,2.6774677467746772
FOSL2,2.3298350824587706,2.818,2.743,2.9324662331165583,2.9569784892446225,2.755975597559756
THRA,2.6091954022988504,2.8765,2.75,2.890945472736368,2.8394197098549276,2.793179317931793
Foxq1,2.3193403298350823,2.727,2.825,3.026513256628314,3.0740370185092547,2.7942794279427945
SMAD3,2.3993003498250873,2.8145,2.8425,2.9569784892446225,3.0795397698849425,2.8184818481848186
MAF::NFE2,2.47776111944028,2.8485,2.7605,3.006503251625813,3.139069534767384,2.8463846384638463
HOXB2::ELK1,2.658670664667666,3.0065,2.7955,2.994497248624312,2.7948974487243623,2.84998499849985
HOXD12,2.28335832083958,2.6625,2.8175,3.0440220110055027,3.4617308654327164,2.8536853685368535
ZNF75A,2.6181909045477263,2.843,2.8685,2.911455727863932,3.0995497748874437,2.868086808680868
SPDEF,2.7416291854072963,2.9985,2.8865,2.9269634817408705,2.9154577288644323,2.893789378937894
HSF2,2.4077961019490255,2.8285,2.918,3.298649324662331,3.27663831915958,2.945794579457946
ZNF707,2.924037981009495,3.0625,2.982,2.9994997498749374,3.006503251625813,2.994899489948995
Creb3l2,2.696151924037981,3.12,3.12,3.128064032016008,2.9279639819909953,2.9983998399839984
ZNF669,2.682658670664668,3.326,2.9615,3.2226113056528263,2.91895947973987,3.0223022302230222
NEUROG1,2.4877561219390305,2.9835,3.135,3.226113056528264,3.2956478239119558,3.0255025502550255
IRF6,2.6721639180409795,3.038,3.062,3.291645822911456,3.292646323161581,3.0712071207120712
FEV,2.9885057471264367,3.3115,2.9695,3.134567283641821,2.959479739869935,3.0727072707270726
ELK1,3.0184907546226887,3.369,3.009,3.1315657828914456,3.0195097548774386,3.1095109510951096
TEF,2.581209395302349,2.976,2.96,3.3591795897948975,3.7408704352176088,3.1233123312331235
DBP,2.5662168915542227,2.997,3.064,3.3406703351675837,3.7133566783391694,3.1361136113611363
ZNF460,3.343328335832084,3.569,3.0585,3.168584292146073,2.6193096548274135,3.1518151815181517
NFIB,3.088455772113943,3.1465,3.1175,3.255127563781891,3.2376188094047023,3.169016901690169
TGIF2,2.741129435282359,3.1995,3.188,3.460730365182591,3.3346673336668333,3.1847184718471846
ZKSCAN1,2.8055972013993005,3.215,3.256,3.325162581290645,3.7008504252126064,3.2604260426042604
Atf1,2.791104447776112,3.249,3.38,3.5407703851925962,3.71735867933967,3.3355335533553356
HEY1,3.217391304347826,3.759,3.437,3.4382191095547774,3.2096048024012007,3.412241224122412
HES2,3.152423788105947,3.66,3.558,3.4177088544272136,3.3191595797898947,3.4214421442144216
GATA1::TAL1,2.8085957021489256,3.2575,3.4,3.67983991995998,3.9674837418709354,3.4225422542254225
MAX::MYC,2.857071464267866,3.4265,3.5255,3.6118059029514757,3.8049024512256127,3.445044504450445
TBX19,2.993503248375812,3.5485,3.547,3.685342671335668,3.8519259629814906,3.5251525152515253
NRL,2.9845077461269365,3.565,3.5595,3.867933966983492,3.75887943971986,3.547054705470547
ETV2,3.5877061469265366,3.73,3.53,3.668334167083542,3.4657328664332168,3.5963596359635965
ETS2,3.751624187906047,3.8625,3.613,3.7498749374687343,3.6288144072036017,3.7211721172117214
HIF1A,3.322838580709645,3.905,3.847,3.812406203101551,3.7548774387193595,3.7283728372837284
PITX2,3.0964517741129436,3.7245,3.7215,4.03551775887944,4.150075037518759,3.7454745474547453
ZNF417,3.5442278860569716,4.182,3.7605,3.941470735367684,3.5172586293146573,3.789078907890789
HOXC12,2.9705147426286858,3.4245,3.687,4.046023011505753,4.841420710355178,3.7936793679367935
MAFG::NFE2L1,3.340829585207396,3.914,3.831,4.172586293146574,4.386193096548274,3.9287928792879288
OLIG1,3.341329335332334,3.947,4.026,4.109054527263631,4.35567783891946,3.955695569556956
FOS,3.4057971014492754,3.8645,3.989,4.277138569284642,4.441720860430215,3.9954995499549955
ARNT2,3.428785607196402,4.062,4.178,4.123061530765383,4.2366183091545775,4.005600560056005
ETV5::FIGLA,3.869065467266367,4.224,3.9925,4.0840420210105055,3.8599299649824914,4.005900590059006
POU2F1::SOX2,3.414792603698151,3.786,3.7245,4.32216108054027,4.985992996498249,4.046504650465047
ZNF135,3.9560219890054973,4.3295,4.107,4.194597298649325,3.7983991995998,4.077107710771077
BHLHE40,3.5657171414292854,4.1695,4.25,4.149074537268635,4.269634817408704,4.080708070807081
RARB,3.476761619190405,3.9925,4.044,4.240120060030015,4.704852426213106,4.091509150915091
RARA::RXRA,3.9860069965017493,4.2535,4.1405,4.313656828414207,4.181090545272636,4.1749174917491745
FOXP2,3.448775612193903,3.9525,4.256,4.423211605802901,4.92096048024012,4.2001200120012
Sox6,3.8075962018990506,4.1365,4.2555,4.3566783391695845,4.707853926963482,4.252725272527253
JDP2,3.5817091454272862,4.133,4.1435,4.585292646323162,5.063031515757879,4.301130113011301
LMX1A,3.6431784107946026,4.1895,4.1665,4.5287643821910955,5.127063531765883,4.330833083308331
ONECUT3,3.425287356321839,4.062,4.3245,4.756378189094547,5.286143071535768,4.37063706370637
Dux,3.683158420789605,4.3305,4.322,4.715857928964482,5.152076038019009,4.44054405440544
RXRB,3.915542228885557,4.3975,4.446,4.572286143071536,4.894447223611806,4.445044504450445
PBX1,3.843578210894553,4.267,4.427,4.8039019509754874,4.896948474237119,4.447544754475447
TCF7L1,3.7671164417791103,4.256,4.468,4.735867933966984,5.329664832416208,4.511151115111511
SP5,4.756121939030485,5.161,4.3545,4.479739869934967,3.905952976488244,4.531553155315532
Thap11,4.111944027986007,4.592,4.587,4.7933966983491745,4.753376688344172,4.567456745674567
mix-a,3.702648675662169,4.41,4.31,4.874937468734367,5.578789394697349,4.575057505750575
TAL1::TCF3,3.9260369815092453,4.773,4.737,5.0880440220110055,4.99799899949975,4.7042704270427045
PLAGL2,5.172913543228386,5.17,4.6415,4.524262131065533,4.1740870435217605,4.736673667366737
Foxn1,4.460769615192404,5.0545,4.7105,4.926463231615808,4.711855927963982,4.772777277727773
BACH1,4.073963018490755,4.6295,4.672,5.0450225112556275,5.487243621810905,4.781378137813781
ZBTB7B,5.136431784107946,4.9985,4.5885,4.820910455227613,4.611305652826413,4.831183118311831
MSC,4.292853573213393,5.0545,4.8735,5.44472236118059,5.119059529764883,4.956795679567957
Nr2f6,4.372813593203398,5.044,4.9885,5.2106053026513255,5.244622311155577,4.971997199719972
EGR2,5.091454272863568,5.2605,4.6665,4.805402701350675,5.039019509754877,4.972597259725973
HES1,4.506246876561719,5.2925,5.1955,4.998499249624812,4.946473236618309,4.987798779877988
TCFL5,4.774612693653173,5.5195,5.255,4.92296148074037,4.615307653826913,5.017501750175017
ZBTB18,4.637181409295352,5.1825,5.1545,5.424712356178089,5.334667333666833,5.146614661466146
GATA5,4.112443778110944,4.861,5.004,5.5912956478239115,6.246123061530765,5.162716271627163
Six3,4.3143428285857075,4.955,5.098,5.566783391695848,6.025512756378189,5.191719171917192
RARG,4.4567716141929035,5.1435,5.246,5.43071535767884,5.866433216608304,5.228522852285229
IRF7,4.3478260869565215,5.1625,5.3355,5.667833916958479,5.950975487743872,5.292729272927293
ZNF547,4.629185407296352,5.4345,5.302,5.754377188594297,5.8024012006003005,5.384338433843384
TLX2,4.385807096451774,5.22,5.168,5.769384692346173,6.656328164082041,5.439643964396439
ELK4,5.35832083958021,5.5665,5.3195,5.520760380190095,5.483241620810405,5.44964496449645
ATF4,4.647176411794103,5.225,5.403,5.868434217108554,6.3786893446723365,5.504250425042504
LIN54,4.544727636181909,5.314,5.4355,5.882941470735368,6.411205602801401,5.517451745174517
KLF3,5.5167416291854074,6.059,5.37,5.503751875937969,5.166083041520761,5.523152315231523
Nfe2l2,4.875562218890555,5.4785,5.4415,5.808904452226113,6.059029514757379,5.532553255325532
FLI1,5.380809595202399,5.6525,5.419,5.621810905452726,5.651825912956478,5.545154515451546
NR1I2,5.012493753123438,5.8845,5.6275,5.9289644822411205,5.651825912956478,5.620962096209621
ZNF136,4.635182408795602,5.4505,5.5885,6.07903951975988,6.533266633316658,5.657065706570657
CDX1,4.584207896051974,5.266,5.606,6.069034517258629,6.9029514757378685,5.6853685368536855
BHLHA15,4.978510744627686,5.689,5.76,5.998499249624812,6.084542271135568,5.701970197019702
KLF12,6.451274362818591,6.3155,5.406,5.674837418709354,4.844422211105552,5.738573857385739
ZKSCAN3,5.44127936031984,6.1515,5.8325,5.893946973486743,5.3891945972986495,5.7416741674167415
FOS::JUND,4.935532233883058,5.6185,5.5715,6.0685342671335665,6.556778389194597,5.74997499749975
ZNF281,6.593703148425787,6.1615,5.377,5.629314657328664,5.248624312156078,5.802180218021802
NR2F1,5.231884057971015,5.8325,5.83,5.88344172086043,6.257628814407203,5.806980698069807
SP3,6.356821589205397,6.2255,5.619,5.686843421710855,5.552276138069034,5.888188818881888
MYF6,5.144927536231884,6.027,5.964,6.327663831915958,5.998999499749875,5.892389238923893
GRHL1,4.859570214892554,5.828,5.951,6.421710855427714,6.491245622811405,5.91009100910091
DMRT3,5.116941529235382,5.9015,5.8435,6.297648824412206,6.672336168084042,5.966196619661966
KLF5,6.306846576711644,6.2885,5.7155,5.936468234117059,5.871935967983992,6.023902390239024
MAZ,6.750624687656172,6.6625,5.7235,5.866933466733367,5.232116058029015,6.047304730473047
HOXC13,4.9165417291354325,5.6545,5.89,6.483741870935468,7.4517258629314655,6.079007900790079
SMAD5,5.326336831584208,6.279,6.114,6.515257628814407,6.388194097048524,6.124412441244124
Npas2,5.2063968015992,5.984,6.1955,6.4777388694347176,6.783891945972987,6.129312931293129
ZNF75D,5.687156421789106,6.099,6.201,6.299149574787394,6.432216108054027,6.143614361436144
HES6,5.31384307846077,6.428,6.1875,6.577788894447224,6.228614307153577,6.147014701470147
TEAD3,5.299350324837581,5.9265,5.9725,6.55327663831916,7.44472236118059,6.239023902390239
Nrf1,6.180409795102449,7.264,6.3975,6.219109554777389,5.265632816408204,6.265426542654265
ETV5::HOXA2,5.544227886056971,6.391,6.276,6.737868934467234,6.857428714357178,6.361136113611361
ZNF574,6.0834582708645675,6.639,6.329,6.5052526263131565,6.288644322161081,6.369036903690369
ETV2::DRGX,5.766616691654173,6.4225,6.25,6.663331665832916,6.852926463231616,6.390939093909391
IRF5,5.540229885057471,6.457,6.515,6.83791895947974,6.981490745372686,6.466146614661466
KLF17,6.96351824087956,6.8575,6.1615,6.382191095547774,6.097548774387193,6.492549254925493
STAT1,5.527736131934033,6.232,6.3285,6.931965982991496,7.490245122561281,6.501850185018502
ZNF211,5.279860069965017,6.0345,6.177,6.963981990995498,8.205602801400701,6.531853185318532
BCL6,5.659670164917541,6.3775,6.354,6.860930465232617,7.530265132566283,6.556255625562557
HOXD3,5.573213393303348,6.33,6.369,6.952976488244122,7.752376188094047,6.595259525952596
FOXO1::ELK3,5.709145427286357,6.5985,6.655,7.094047023511756,7.461230615307654,6.703370337033704
HOXA2,5.615192403798101,6.3455,6.453,7.021010505252626,8.11455727863932,6.70957095709571
MLXIPL,5.669165417291354,6.8575,6.8705,7.263131565782891,6.904952476238119,6.712871287128713
HINFP,6.4522738630684655,7.575,6.5905,7.084542271135568,6.098549274637318,6.7601760176017605
SP1,7.498250874562719,7.6475,6.2955,6.830915457728865,5.83791895947974,6.822182218221823
Olig2,6.798600699650175,7.498,6.843,7.232616308154077,6.040020010005002,6.882488248824883
